Revenue Categories,August,August YTD
Annual Membership,"$ 3,215,768.70","$ 16,838,558.89"
Monthly Membership,"$ 16,530.00","$ 272,234.09"
Casual Membership,"$ 1,580,650.05","$ 7,110,070.25"
Annual Overages,"$ 76,241.98","$ 455,675.75"
Monthly Overages,"$ 6,335.00","$ 34,442.59"
Casual Overages,"$ 513,874.34","$ 2,539,181.29"
Other Revenue,"$ 33,732.30","$ 364,834.26"
Refund & Discounts,"$ (407,541.43)","$ (2,304,095.69)"
Tax,"$ 447,120.34","$ 2,223,759.65"
Sponsorship,"$ 1,021,680.19","$ 8,489,855.63"
Total,"$ 6,504,391.47","$ 36,024,516.71"
